Symbol,ETF Name,Asset Class,Total Assets ,YTD,Avg Volume,Previous Closing Price,1-Day Change,Inverse,Leveraged,1 Week,4 Week,1 year,3 year,5 year,YTD FF,1 Week FF,4 Week FF,1 Year FF,3 Year FF,5 Year FF,ETFdb.com Category,Inception,ER,Commission Free,Annual Dividend Rate,Dividend Date,Dividend,Annual Dividend Yield %,P/E Ratio,Beta,# of Holdings,% In Top 10,ST Cap Gain Rate,LT Cap Gain Rate,Tax Form,Lower Bollinger,Upper Bollinger,Support 1,Resistance 1,RSI,Overall Rating,Liquidity Rating,Expenses Rating,Returns Rating,Volatility Rating,Dividend Rating,Concentration Rating,ESG Score,ESG Score Peer Percentile (%),ESG Score Global Percentile (%),Carbon Intensity (Tons of CO2e / $M Sales),SRI Exclusion Criteria (%),Sustainable Impact Solutions (%)
XLP,Consumer Staples Select Sector SPDR Fund,Equity,"US$10,146,179,753.00 ",4.81%,"20,786,930",US$53.22 ,-0.32%,No,No,2.88%,3.82%,-4.80%,13.66%,49.01%,"(US$252,174,021.50)","(US$26,247,782.50)","(US$72,580,172.50)","US$2,222,782,196.50 ","US$698,345,694.71 ","US$1,839,090,438.79 ",Consumer Staples Equities,16/12/1998,0.13%,N/A,US$1.55 ,21/12/2018,US$0.46 ,2.95%,18.78,0.64,34,69.76%,35%,15%,1099,US$50.72 ,US$53.03 ,US$52.96 ,US$53.51 ,55.31,A,A+,A,B,A-,A,B+,6.02,59.65%,67.09%,68.49,24.93%,15.51%
VDC,Vanguard Consumer Staples ETF,Equity,"US$4,335,885,762.00 ",5.08%,"272,285",US$137.83 ,-0.34%,No,No,2.70%,4.00%,-4.32%,15.18%,49.36%,"US$137,784,250.00 ","US$50,633,500.00 ","US$137,757,750.00 ","US$615,900,757.29 ","US$1,470,199,805.08 ","US$2,178,130,392.10 ",Consumer Staples Equities,30/1/2004,0.10%,Vanguard,US$3.65 ,13/12/2018,US$1.04 ,2.69%,20.2,0.65,92,65.11%,35%,15%,1099,US$131.34 ,US$137.50 ,N/A,N/A,55.56,A+,A-,A,B+,A+,A+,A-,5.84,43.86%,60.88%,70.82,23.74%,13.92%
KXI,iShares Global Consumer Staples ETF,Equity,"US$700,077,382.00 ",5.46%,"171,995",US$48.48 ,-0.10%,No,No,2.93%,3.81%,-7.43%,11.72%,34.60%,"US$60,481,937.00 ",US$0.00 ,"US$65,062,718.00 ","US$670,828,258.00 ","US$580,246,858.50 ","US$505,409,858.50 ",Consumer Staples Equities,21/9/2006,0.47%,N/A,US$1.37 ,18/12/2018,US$0.72 ,2.86%,18.42,0.65,104,45.92%,35%,15%,1099,US$46.07 ,US$48.22 ,US$48.34 ,US$48.62 ,58.8,A-,B+,B,B,A,B+,A,6.53,70.18%,82.48%,60.53,27.80%,12.09%
IYK,iShares U.S. Consumer Goods ETF,Equity,"US$456,876,693.00 ",7.30%,"50,371",US$114.21 ,-0.17%,No,No,2.98%,5.94%,-8.75%,15.14%,40.93%,"(US$5,487,709.50)",US$0.00 ,"(US$5,487,709.50)","(US$1,996,503.00)","(US$351,023,236.00)","(US$108,763,736.00)",Consumer Staples Equities,12/6/2000,0.43%,N/A,US$2.99 ,17/12/2018,US$0.69 ,2.66%,19.09,0.76,110,55.00%,35%,15%,1099,US$107.35 ,US$113.78 ,US$113.91 ,US$114.52 ,59.46,A-,B+,B,B+,B+,B,A,5.86,49.12%,61.55%,64.21,22.09%,14.88%
RHS,Invesco S&P 500® Equal Weight Consumer Staples ETF,Equity,"US$398,317,367.00 ",5.14%,"82,623",US$122.47 ,-0.46%,No,No,2.62%,4.00%,-7.39%,12.58%,53.83%,"(US$53,031,594.50)","US$6,045,790.00 ","(US$47,208,200.00)","(US$54,810,644.50)","(US$138,446,733.50)","US$194,979,126.50 ",Consumer Staples Equities,7/11/2006,0.40%,Charles Schwab,US$2.83 ,24/12/2018,US$0.93 ,2.34%,18.22,0.63,34,32.78%,35%,15%,1099,US$117.40 ,US$122.66 ,N/A,N/A,53.51,A,B,B+,A-,A,A,B,5.82,40.35%,60.23%,71.73,18.81%,15.54%
FXG,First Trust Consumer Staples AlphaDEX Fund,Equity,"US$334,658,834.00 ",6.45%,"100,287",US$44.92 ,-0.20%,No,No,1.98%,4.59%,-8.61%,8.82%,42.50%,"US$17,574,390.00 ",US$0.00 ,"US$13,354,347.00 ","US$5,452,921.00 ","(US$2,459,652,224.23)","(US$985,511,529.86)",Consumer Staples Equities,8/5/2007,0.64%,N/A,US$0.97 ,18/12/2018,US$0.16 ,2.19%,12.88,0.75,35,49.35%,35%,15%,1099,US$43.14 ,US$45.49 ,US$44.78 ,US$45.16 ,53.43,B+,A,C+,A+,B+,B,B-,5.42,28.07%,45.70%,101.09,6.06%,10.67%
ECON,Columbia Emerging Markets Consumer ETF,Equity,"US$295,862,499.00 ",10.51%,"316,552",US$22.51 ,-0.53%,No,No,1.63%,7.55%,-21.13%,11.92%,-2.87%,"(US$9,165,847.50)",US$0.00 ,US$0.00 ,"(US$444,587,055.50)","(US$289,619,732.50)","(US$850,243,467.00)",Foreign Large Cap Equities,14/9/2010,0.59%,N/A,US$0.20 ,21/12/2018,US$0.20 ,0.90%,18.8,0.87,31,46.00%,35%,15%,1099,US$20.78 ,US$22.73 ,N/A,N/A,63.21,C,A,C,C+,B-,C,C+,4.35,34.65%,15.02%,70.83,13.93%,8.65%
PSL,Invesco DWA Consumer Staples Momentum ETF,Equity,"US$178,696,814.00 ",3.19%,"38,703",US$67.29 ,0.10%,No,No,0.99%,2.14%,1.53%,24.76%,69.80%,"US$10,048,815.50 ","US$3,318,252.00 ","US$13,294,583.00 ","US$109,669,689.00 ","(US$173,849,523.00)","US$124,641,567.50 ",Consumer Staples Equities,12/10/2006,0.60%,N/A,US$0.49 ,24/12/2018,US$0.16 ,0.74%,24.37,0.65,31,40.34%,35%,15%,1099,US$65.71 ,US$67.90 ,US$67.06 ,US$67.59 ,49.54,B+,B-,B-,A-,A-,A-,B+,4.83,8.77%,28.79%,78.38,0.00%,9.61%
PSCC,Invesco S&P SmallCap Consumer Staples ETF,Equity,"US$68,257,044.00 ",9.62%,"15,240",US$75.80 ,-0.42%,No,No,1.82%,6.82%,5.14%,47.21%,73.17%,"(US$7,233,961.00)",US$0.00 ,"(US$7,233,961.00)","US$22,585,719.00 ","US$4,890,066.00 ","(US$736,415.00)",Consumer Staples Equities,7/4/2010,0.29%,N/A,US$0.65 ,24/12/2018,US$0.40 ,0.85%,28.04,0.83,22,66.29%,35%,15%,1099,US$71.11 ,US$76.32 ,N/A,N/A,56.05,B-,B-,A-,A,B,C+,C,3.88,3.51%,6.79%,89.39,8.35%,12.96%
PBJ,Invesco Dynamic Food & Beverage ETF,Equity,"US$67,448,875.00 ",5.83%,"11,574",US$31.40 ,-0.19%,No,No,1.54%,4.08%,-6.97%,3.10%,33.18%,"(US$4,611,462.50)",US$0.00 ,"(US$4,611,462.50)","(US$11,087,017.00)","(US$237,599,284.00)","(US$222,567,305.00)",Consumer Staples Equities,23/6/2005,0.63%,N/A,US$0.42 ,24/12/2018,US$0.09 ,1.34%,19.79,0.7,31,47.45%,35%,15%,1099,US$30.25 ,US$31.67 ,US$31.32 ,US$31.53 ,53.79,B+,A-,C+,A,B,B-,B-,4.93,19.30%,31.49%,90.53,12.86%,4.22%
